record_id,产品品名,产地（国家）,产地（市）,产地（省）,单混,品名,品类一级,品类二级,商品链接,序号,序号1,序号2,序号3,标签照片,正常售价,正面图片,规格,采集平台,采集时间,优惠到手价,口味,委托方,生产商,背面图片,外包装图片,箱规,赠品图片,备注
recKaHgFKE,optPSZiVlb,,,,单,雀巢美禄运动力量饼干,休闲零食,饼干曲奇,#小程序://大润发优鲜/c9JFVmgdhxSnnDI,DRF-,DRF,,,image.png,9.9,image.png,108g,大润发,1752156078000,8.5,牛奶味,,,image.png,,,,
recCdxxJiI,optxApr516,中国,湖州,浙江,单,母亲原切牛肉片,休闲零食,肉干小食,,DRF-,DRF,,,,19.9,image.png,40g,大润发,1752156078000,,原味/孜然味,母亲食品（安吉）有限公司,母亲食品（安吉）有限公司,image.png,,,,
recdgBf9sQ,optiQ7FLHI,中国,苏州,江苏,单,奥利奥冰淇淋抹茶味,休闲零食,饼干曲奇,#小程序://大润发优鲜/f5jj51ojrDZlXwo,DRF-,DRF,,,,6.5,image.png,97g,大润发,1752156078000,6.5,冰淇淋抹茶味,亿滋食品企业管理（上海）有限公司,亿滋食品（苏州）有限公司,image.png,,,,
recEcMWYOE,optkwojmj8,中国,天津,天津,单,康师傅3+2苏打夹心饼干（柠檬味）,休闲零食,饼干曲奇,#小程序://大润发优鲜/UgOemFJcWuxnPMH,DRF-,DRF,,,image.png,16,image.png,300g,大润发,1752156078000,16,柠檬味,天津顶园食品有限公司,天津顶园食品有限公司,image.png,,,,
recd75yD1y,optQqB6P27,中国,马鞍山,安徽,单,悠之优味牛古板牛蹄筋,休闲零食,肉干小食,,DRF-,DRF,,,image.png,9.9,image.png,48g,大润发,1752156078000,,酱香味,安徽悠之优味食品有限公司,安徽悠之优味食品有限公司,image.png,,,,
recpoJb1Hg,optephJVsQ,中国,天津,,单,康师傅3+2苏打夹心饼干（奶油味）,休闲零食,饼干曲奇,#小程序://大润发优鲜/WIPxE5xJpPycaUD,DRF-,DRF,,,image.png,16,image.png,300g,大润发,1752156078000,16,奶油味,天津顶园食品有限公司,天津顶园食品有限公司,image.png,,,,
recdTBbS9V,opt7g8xbbB,中国,,,单,奥利奥薄脆香草奥碎味,休闲零食,饼干曲奇,#小程序://大润发优鲜/tT9BE2Qasy3DJKu,DRF-,DRF,,,image.png,7.5,image.png,95g,大润发,1752156078000,6.25,香草奥碎味,,,,,,,
recbxp5b6k,optR55qogS,中国,北京,,单,奥利奥迷你榛子巧克力味夹心饼干,休闲零食,饼干曲奇,#小程序://大润发优鲜/h0eduTmjVphpMZm,DRF-,DRF,,,image.png,11.9,image.png,120g,大润发,1752156078000,10.23,榛子巧克力味,亿滋食品企业管理（上海）有限公司,亿滋食品（北京）有限公司,,,,,
reclHOCIBY,optzIldsbT,中国,潮州,广东,单,自然派蜜汁味牛肉脯,休闲零食,肉干小食,,DRF-,DRF,,,,18.2,image.png,75g,大润发,1752156078000,,蜜汁味,深圳市晋年贸易有限公司,潮州市华祖食品有限公司,image.png,,,,
recqEnaFeh,opt7U6gXG4,中国,嘉兴/乐山,浙江/四川,单,三只松鼠麻辣牛肉,休闲零食,肉干小食,,DRF-,DRF,,,,8.9,image.png,60g,大润发,1752156078000,,麻辣味,三只松鼠（无为）有限责任公司,浙江佳时食品有限公司/四川罗城牛肉食品有限公司,image.png,,,,
